№ в АО;Название в списке;Метод;Похожесть;Найдено в реестре;ID реестра;Категория;Статус
57;Автобусный круг у пл. «Ховрино»;exact;1.0;Автобусный круг у пл. «Ховрино»;10002300;3 категория;Утвержден
58;ТПУ «МОССЕЛЬМАШ» района Западное Дегунино;exact;1.0;ТПУ «МОССЕЛЬМАШ» района Западное Дегунино;10002299;4 категория;Утвержден
59;Верхнелихоборская улица;exact;1.0;Верхнелихоборская улица;10002210;3 категория;Утвержден
60;Дегунинская улица;exact;1.0;Дегунинская улица;10002241;4 категория;Утвержден
61;Базовская улица;exact;1.0;Базовская улица;10002185;3 категория;Утвержден
62;улица Ивана Сусанина;exact;1.0;улица Ивана Сусанина;754384317;4 категория;Утвержден
63;Коптевская улица;exact;1.0;Коптевская улица;10002285;4 категория;Утвержден
64;Коптевский бульвар;exact;1.0;Коптевский бульвар;10002288;4 категория;Утвержден
65;Приорова ул.;exact;1.0;Приорова ул.;10002550;4 категория;Утвержден
66;8-й Новоподмосковный переулок;exact;1.0;8-й Новоподмосковный переулок;10002367;4 категория;Утвержден
67;бульвар Матроса Железняка;exact;1.0;Бульвар Матроса Железняка;10002342;4 категория;Утвержден
68;ТПУ Речной вокзал Жилищник Левобережный;no_match;0.0;;;;
69;Территория у ст.м. «Беломорская»;exact;1.0;Территория у ст.м. «Беломорская»;751086786;4 категория;Утвержден
73;Старый Петровско-Разумовский проезд;exact;1.0;Старый Петровско-Разумовский проезд;10002386;3 категория;Утвержден
74;2-я Хуторская улица;exact;1.0;2-я Хуторская улица;10002624;4 категория;Утвержден
75;Вятская улица;exact;1.0;Вятская улица;10002232;4 категория;Утвержден
76;2-я Квесисская улица;exact;1.0;2-я Квесисская улица;10002275;4 категория;Утвержден
77;2-я Песчаная улица;exact;1.0;2-я Песчаная улица;10002397;3 категория;Утвержден
78;Новопесчаная улица;exact;1.0;Новопесчаная улица;10002359;3 категория;Утвержден
79;Проезд от Ленинградского шоссе к университету Синергия (Ленинградский просп., 80Г);exact;1.0;Проезд от Ленинградского шоссе к университету Синергия (Ленинградский просп., 80Г);10002459;4 категория;Утвержден
80;Разворотный круг троллейбусов у метро «Сокол»;exact;1.0;Разворотный круг троллейбусов у метро «Сокол»;754431382;4 категория;Утвержден
81;Улица Константина Царева;exact;1.0;Улица Константина Царева;10002629;4 категория;Утвержден
82;Песчаная улица;exact;1.0;Песчаная улица;10002395;4 категория;Утвержден
83;улица Сальвадора Альенде;exact;1.0;улица Сальвадора Альенде;10002399;4 категория;Утвержден
84;Чапаевский переулок;exact;1.0;Чапаевский переулок;10002633;4 категория;Утвержден
85;Территория перед ст.метро «Петровско-Разумовская»;exact;1.0;Территория перед ст.метро «Петровско-Разумовская»;10002604;4 категория;Утвержден
86;Подъезд к префектуре (Тимирязевская ул., д. 27);exact;1.0;Подъезд к префектуре (Тимирязевская ул., д. 27);10002434;4 категория;Утвержден
87;ТПУ Окружная;exact;1.0;ТПУ Окружная;1017816137;4 категория;Утвержден
88;Проезд от улицы Лавочкина к дому 23А;exact;1.0;Проезд от улицы Лавочкина к дому 23А;749196409;4 категория;Утвержден
89;Клинская улица;exact;1.0;Клинская улица;10002278;3 категория;Утвержден
90;улица Ляпидевского;exact;1.0;улица Ляпидевского;10002324;4 категория;Утвержден
91;ТПУ ЦСКА;no_match;0.0;;;;
92;ТПУ «Аэропорт» (Хорошевский район);exact;1.0;ТПУ «Аэропорт» (Хорошевский район);314902859;3 категория;Утвержден
93;Территория у станции метро Хорошевская;exact;1.0;Территория у станции метро Хорошевская;811643235;4 категория;Утвержден
94;ТПУ «Хорошево» (парковка);fuzzy;0.727;ТПУ «Хорошево»;701406660;4 категория;Утвержден
95;Веры Волошиной улица;exact;1.0;Веры Волошиной улица;10002540;3 категория;Утвержден
96;2-й Хорошевский проезд;exact;1.0;2-й Хорошевский проезд;10002619;4 категория;Утвержден
97;Проектируемый проезд №6368;exact;1.0;Проектируемый проезд №6368;10002664;4 категория;Утвержден
98;4-й Ходынский проезд;exact;1.0;4-й Ходынский проезд;10002556;4 категория;Утвержден
99;Магистральный переулок;exact;1.0;Магистральный переулок;10002329;4 категория;Утвержден
100;1-й Магистральный тупик;exact;1.0;1-й Магистральный тупик;10002332;4 категория;Утвержден
