id;name;queue;assignment_basis;source_list_name
10002432;Подъезд к плодоовощной конторе (Коровинское ш.35);2;остаток после 1-й и 3-й очередей;
10002433;4-я улица Новоселки, д. 2 (Автопарковка);2;остаток после 1-й и 3-й очередей;
10002435;Проезд от Верхнелихоборской улицы до Ильменского проезда 1с.43;2;остаток после 1-й и 3-й очередей;
10002436;Полевая улица (ГБУ «Жилищник района Молжаниновский»);2;остаток после 1-й и 3-й очередей;
10002437;улица Поленова;2;остаток после 1-й и 3-й очередей;
10002439;Полтавская улица;1;точное наименование;Полтавская ул.
10002440;Проезд от Кронштадтского бульвара до церкви (Кронштадтский бульвар вл.24к.1);3;сверка сокращённого наименования;Проезд от Кронштадтского бул. до церкви
10002441;боковой проезд Ленинградское ш.,64-88;3;точное наименование;боковой проезд Ленинградское ш.64-88
10002442;Пр-д к школе-интернату N 45;2;остаток после 1-й и 3-й очередей;
10002443;3-й Ходынский проезд;2;остаток после 1-й и 3-й очередей;
10002444;Площадь перед ипподромом;2;остаток после 1-й и 3-й очередей;
10002446;Проезд от Ленинградского проспекта до улицы Авиаконструктора Яковлева;2;остаток после 1-й и 3-й очередей;
10002447;Проезд от Флотской ул. д.46 Кронштадтского бульвара;2;остаток после 1-й и 3-й очередей;
10002449;Проезд Березовой Рощи;2;остаток после 1-й и 3-й очередей;
10002450;Проезд вдоль Петрозаводской ул. от д.2 до д.8;2;остаток после 1-й и 3-й очередей;
10002451;Комсомольская улица;1;точное наименование;Комсомольская ул.
10002452;Проезд к Братцевской птицефабрике;2;остаток после 1-й и 3-й очередей;
10002453;Проезд от Ангарской улицы до улицы С.Ковалевской;2;остаток после 1-й и 3-й очередей;
10002454;Проезд от Дубнинской улицы до института ВИСТИ;2;остаток после 1-й и 3-й очередей;
10002455;Проезд от Комсомольской улице к ТП;3;сверка сокращённого наименования;Проезд от Комсомольской к ТП
10002456;Проезд от Коптевской улицы до К.Цеткин улицы;2;остаток после 1-й и 3-й очередей;
10002457;Проезд от Левобережной улицы до МКАД;3;сверка сокращённого наименования;Проезд от Левобережной до МКАД
10002458;Проезд от Ленинградского шоссе до 3-й Сестрорецкой улицы;3;ручная адресная сверка;Проезд Ленинградское ш.—3-я Сестрорецкая
10002460;Проезд от Хорошевского шоссе к в-ч;2;остаток после 1-й и 3-й очередей;
10002461;Проезд от ул.Новая Ипатовка к подстанции скорой помощи (ул.Новая Ипатовка, 3Ас1);2;остаток после 1-й и 3-й очередей;
10002463;Проезд от ул. Зорге 6к.3 до ул. Куусинена;2;остаток после 1-й и 3-й очередей;
10002464;Проезд от ул. Зорге 6к1 до ул. Куусинена;2;остаток после 1-й и 3-й очередей;
10002465;Проезд от ул. Зорге 10к3 до ул. Куусинена;2;остаток после 1-й и 3-й очередей;
10002466;Проезд от ул. Зорге 10к.1 до ул. Куусинена;2;остаток после 1-й и 3-й очередей;
10002467;Проезд N 5 от ул. Зорге до ул. Куусинена;2;остаток после 1-й и 3-й очередей;
10002468;Улица Военное поле;2;остаток после 1-й и 3-й очередей;
10002469;Новопетровский проезд (пр.995);2;остаток после 1-й и 3-й очередей;
10002470;Проезд от Дмитровского шоссе к институту «Зерна»;2;остаток после 1-й и 3-й очередей;
10002471;Проезд вдоль Дмитровского шоссе от Красностуденческого проезда до Верхней аллеи;2;остаток после 1-й и 3-й очередей;
